Observation,Reason
327,Inflation is too high
327,Age is too high
327,saf2 is too high
327,saf3 is too high
12848,saf4 is too high
12848,Age is too high
12848,saf2 is too high
7987,lab1 is too low
7987,Age is too high
7987,own2 is too low
7987,vacancy_rate is too low
15136,pop1 is too high
15136,inc3 is too low
15136,inc1 is too low
15136,inc2 is too low
3136,saf4 is too high
3136,own3 is too high
3136,saf2 is too high
6016,walk_score_comm is too low
7288,saf4 is too high
7288,mr5y is too high
7288,Inflation is too high
7288,inc3 is too low
7288,own3 is too high
7288,Age is too high
7288,saf2 is too high
7288,saf3 is too high
7288,inc1 is too low
7288,lab2 is too high
11585,lab2 is too high
11999,saf4 is too high
11999,mr5y is too high
11999,Inflation is too high
11999,own3 is too high
15014,lab2 is too high
9948,saf5 is too high
9948,saf2 is too high
3122,saf4 is too high
3122,saf5 is too high
3122,own3 is too high
3122,saf2 is too high
7084,vacancy_rate is too low
12183,saf4 is too high
12183,inc3 is too low
12183,own3 is too high
12183,lab1 is too low
12183,walk_score_comm is too low
12183,pop4 is too high
12183,inc1 is too low
12183,inc2 is too low
12183,lab2 is too high
3118,saf4 is too high
3118,saf5 is too high
3118,mr5y is too high
3118,Inflation is too high
3118,Age is too high
3118,saf2 is too high
3118,own2 is too low
3118,vacancy_rate is too low
7352,pop1 is too high
7352,pop2 is too high
7352,saf3 is too high
7352,pop3 is too high
7352,pop4 is too high
7352,inc2 is too low
7352,vacancy_rate is too low
7604,pop1 is too high
7604,inc3 is too low
7604,inc1 is too low
7604,inc2 is too low
11460,saf4 is too high
11460,saf5 is too high
11460,inc3 is too low
11460,Age is too high
11460,inc1 is too low
4966,mr5y is too high
4966,Inflation is too high
4966,lab1 is too low
4966,Age is too high
4966,saf2 is too high
4966,saf3 is too high
4966,pop4 is too high
4966,own2 is too low
11819,lab1 is too low
11819,walk_score_comm is too low
11819,own2 is too low
11819,vacancy_rate is too low
12592,pop1 is too high
12592,pop2 is too high
12592,saf3 is too high
12592,pop3 is too high
12592,pop4 is too high
12592,inc2 is too low
12592,vacancy_rate is too low
11584,lab1 is too low
11584,walk_score_comm is too low
11584,own2 is too low
1270,pop1 is too high
1270,pop2 is too high
1270,saf3 is too high
1270,pop3 is too high
1270,pop4 is too high
1270,inc2 is too low
1270,vacancy_rate is too low
2884,mr5y is too high
2884,Inflation is too high
2884,walk_score_comm is too low
2884,lab2 is too high
4435,own3 is too high
4435,saf2 is too high
4435,own2 is too low
8550,lab1 is too low
8550,walk_score_comm is too low
8550,own2 is too low
15315,pop1 is too high
15315,inc3 is too low
15315,inc1 is too low
15315,inc2 is too low
859,inc3 is too low
859,own3 is too high
859,lab1 is too low
859,pop4 is too high
859,inc1 is too low
859,inc2 is too low
859,lab2 is too high
7368,mr5y is too high
7368,Inflation is too high
7368,pop1 is too high
7368,pop2 is too high
7368,pop3 is too high
10168,lab2 is too high
10668,vacancy_rate is too low
2032,saf5 is too high
2032,mr5y is too high
2032,Inflation is too high
2032,pop1 is too high
2032,inc3 is too low
2032,inc1 is too low
2032,inc2 is too low
3934,saf4 is too high
3934,saf5 is too high
3934,pop2 is too high
3934,inc3 is too low
3934,Age is too high
3934,saf2 is too high
3934,saf3 is too high
3934,pop3 is too high
3934,inc1 is too low
3934,inc2 is too low
3934,lab2 is too high
3934,vacancy_rate is too low
11267,pop1 is too high
11267,inc3 is too low
11267,inc1 is too low
11267,inc2 is too low
11267,vacancy_rate is too low
15140,walk_score_comm is too low
15140,lab2 is too high
315,walk_score_comm is too low
315,lab2 is too high
13123,inc3 is too low
13123,own3 is too high
13123,lab1 is too low
13123,pop4 is too high
13123,inc1 is too low
13123,inc2 is too low
13123,lab2 is too high
6436,pop1 is too high
6436,pop2 is too high
6436,walk_score_comm is too low
6436,pop3 is too high
6620,saf5 is too high
6620,own3 is too high
6620,walk_score_comm is too low
6620,pop4 is too high
6620,own2 is too low
6620,vacancy_rate is too low
10744,pop1 is too high
10744,pop2 is too high
10744,pop3 is too high
1304,lab1 is too low
1304,walk_score_comm is too low
1304,own2 is too low
1212,walk_score_comm is too low
2079,saf4 is too high
2079,saf5 is too high
2079,mr5y is too high
2079,Inflation is too high
2079,own3 is too high
2079,Age is too high
2079,saf2 is too high
492,saf4 is too high
492,saf5 is too high
492,inc3 is too low
492,inc1 is too low
9671,lab1 is too low
9671,walk_score_comm is too low
9671,own2 is too low
15588,saf4 is too high
15588,saf5 is too high
15588,mr5y is too high
15588,Inflation is too high
15588,Age is too high
15588,saf2 is too high
15588,own2 is too low
13531,inc3 is too low
13531,Age is too high
13531,inc1 is too low
13531,vacancy_rate is too low
5934,saf5 is too high
5934,mr5y is too high
5934,Inflation is too high
5934,pop1 is too high
5934,inc3 is too low
5934,inc1 is too low
5934,inc2 is too low
11911,mr5y is too high
11911,Inflation is too high
11911,pop1 is too high
11911,pop2 is too high
11911,walk_score_comm is too low
11911,pop3 is too high
868,lab1 is too low
868,saf3 is too high
868,pop4 is too high
868,own2 is too low
2020,mr5y is too high
2020,Inflation is too high
2020,walk_score_comm is too low
2020,saf3 is too high
2020,inc2 is too low
14688,saf4 is too high
14688,saf5 is too high
14688,mr5y is too high
14688,Inflation is too high
14688,pop2 is too high
14688,inc3 is too low
14688,Age is too high
14688,pop3 is too high
14688,inc1 is too low
14688,inc2 is too low
14688,lab2 is too high
4925,pop1 is too high
4925,pop2 is too high
4925,walk_score_comm is too low
4925,saf3 is too high
4925,pop3 is too high
4925,pop4 is too high
4925,inc2 is too low
8451,saf4 is too high
8451,saf5 is too high
8451,mr5y is too high
8451,Inflation is too high
8451,inc3 is too low
8451,lab1 is too low
8451,Age is too high
8451,saf2 is too high
8451,inc1 is too low
8451,own2 is too low
6242,saf4 is too high
6242,saf5 is too high
6242,mr5y is too high
6242,Inflation is too high
6242,inc3 is too low
6242,lab1 is too low
6242,Age is too high
6242,saf2 is too high
6242,inc1 is too low
6242,own2 is too low
2474,pop1 is too high
2474,pop2 is too high
2474,pop3 is too high
7424,saf5 is too high
7424,mr5y is too high
7424,Inflation is too high
7424,pop1 is too high
7424,inc3 is too low
7424,inc1 is too low
7424,inc2 is too low
13944,saf4 is too high
13944,inc3 is too low
13944,own3 is too high
13944,lab1 is too low
13944,pop4 is too high
13944,inc1 is too low
13944,inc2 is too low
13944,lab2 is too high
11815,pop1 is too high
11815,inc3 is too low
11815,inc1 is too low
11815,inc2 is too low
11140,pop1 is too high
11140,pop2 is too high
11140,pop3 is too high
9252,inc3 is too low
9252,own3 is too high
9252,Age is too high
9252,inc1 is too low
9252,lab2 is too high
12015,inc3 is too low
12015,own3 is too high
12015,lab1 is too low
12015,pop4 is too high
12015,inc1 is too low
12015,inc2 is too low
12015,lab2 is too high
12015,vacancy_rate is too low
1156,inc3 is too low
1156,walk_score_comm is too low
1156,Age is too high
1156,inc1 is too low
6659,lab1 is too low
6659,walk_score_comm is too low
6659,saf3 is too high
6659,own2 is too low
6667,lab2 is too high
3606,pop1 is too high
3606,pop2 is too high
3606,saf3 is too high
3606,pop3 is too high
3606,pop4 is too high
3606,inc2 is too low
3606,vacancy_rate is too low
6504,mr5y is too high
6504,Inflation is too high
6504,inc3 is too low
6504,own3 is too high
6504,lab1 is too low
6504,saf3 is too high
6504,pop4 is too high
6504,inc1 is too low
6504,inc2 is too low
6504,lab2 is too high
4790,mr5y is too high
4790,Inflation is too high
1940,mr5y is too high
1940,Inflation is too high
1940,lab1 is too low
1940,walk_score_comm is too low
1940,saf3 is too high
1940,own2 is too low
14340,pop1 is too high
14340,pop2 is too high
14340,walk_score_comm is too low
14340,pop3 is too high
3283,saf4 is too high
3283,mr5y is too high
3283,Inflation is too high
3283,inc3 is too low
3283,saf3 is too high
3283,inc1 is too low
12423,pop1 is too high
12423,inc3 is too low
12423,walk_score_comm is too low
12423,inc1 is too low
12423,inc2 is too low
2520,saf5 is too high
2520,inc3 is too low
2520,own3 is too high
2520,Age is too high
2520,saf2 is too high
2520,inc1 is too low
2520,lab2 is too high
2520,vacancy_rate is too low
13551,lab1 is too low
13551,walk_score_comm is too low
13551,saf3 is too high
13551,own2 is too low
10964,lab1 is too low
10964,Age is too high
10964,pop4 is too high
10964,own2 is too low
10964,vacancy_rate is too low
3267,pop1 is too high
3267,pop2 is too high
3267,walk_score_comm is too low
3267,saf2 is too high
3267,pop3 is too high
463,mr5y is too high
463,Inflation is too high
463,pop1 is too high
463,pop2 is too high
463,walk_score_comm is too low
463,pop3 is too high
6500,saf5 is too high
6500,mr5y is too high
6500,Inflation is too high
6500,pop1 is too high
6500,inc3 is too low
6500,inc1 is too low
6500,inc2 is too low
13182,pop1 is too high
13182,inc3 is too low
13182,inc1 is too low
13182,inc2 is too low
13508,saf4 is too high
13508,saf5 is too high
13508,inc3 is too low
13508,Age is too high
13508,inc1 is too low
460,walk_score_comm is too low
460,pop4 is too high
12677,lab1 is too low
12677,walk_score_comm is too low
12677,own2 is too low
615,own3 is too high
615,walk_score_comm is too low
615,vacancy_rate is too low
9364,pop1 is too high
9364,pop2 is too high
9364,walk_score_comm is too low
9364,pop3 is too high
6660,walk_score_comm is too low
12095,pop2 is too high
12095,inc3 is too low
12095,walk_score_comm is too low
12095,pop3 is too high
12095,inc1 is too low
12095,inc2 is too low
12095,lab2 is too high
1084,pop1 is too high
1084,pop2 is too high
1084,pop3 is too high
9864,saf5 is too high
9864,own3 is too high
9864,walk_score_comm is too low
9864,pop4 is too high
9864,own2 is too low
9864,vacancy_rate is too low
13880,mr5y is too high
13880,Inflation is too high
13880,inc3 is too low
13880,own3 is too high
13880,saf2 is too high
13880,inc1 is too low
13880,lab2 is too high
6492,saf5 is too high
6492,lab1 is too low
6492,Age is too high
6492,pop4 is too high
6492,own2 is too low
6390,saf4 is too high
6390,mr5y is too high
6390,Inflation is too high
6390,inc3 is too low
6390,own3 is too high
6390,Age is too high
6390,saf2 is too high
6390,saf3 is too high
6390,inc1 is too low
6390,lab2 is too high
7871,pop1 is too high
7871,pop2 is too high
7871,pop3 is too high
14716,saf4 is too high
14716,saf5 is too high
14716,Age is too high
14716,saf2 is too high
14716,saf3 is too high
14716,vacancy_rate is too low
8798,inc3 is too low
8798,own3 is too high
8798,lab1 is too low
8798,pop4 is too high
8798,inc1 is too low
8798,inc2 is too low
8798,lab2 is too high
8798,vacancy_rate is too low
2484,saf4 is too high
2484,own3 is too high
2484,Age is too high
2484,saf2 is too high
5904,mr5y is too high
5904,Inflation is too high
5904,inc3 is too low
5904,own3 is too high
5904,lab1 is too low
5904,saf3 is too high
5904,pop4 is too high
5904,inc1 is too low
5904,inc2 is too low
5904,lab2 is too high
5904,vacancy_rate is too low
647,vacancy_rate is too low
7431,lab1 is too low
7431,Age is too high
7431,pop4 is too high
7431,own2 is too low
13444,saf4 is too high
13444,saf5 is too high
13444,pop2 is too high
13444,inc3 is too low
13444,saf3 is too high
13444,pop3 is too high
13444,inc1 is too low
13444,inc2 is too low
13444,lab2 is too high
11355,pop1 is too high
11355,inc3 is too low
11355,inc1 is too low
11355,inc2 is too low
7358,saf5 is too high
7358,Age is too high
7358,saf2 is too high
12180,mr5y is too high
12180,Inflation is too high
12180,pop1 is too high
12180,pop2 is too high
12180,saf3 is too high
12180,pop3 is too high
12180,pop4 is too high
12180,inc2 is too low
12180,vacancy_rate is too low
11375,saf5 is too high
11375,mr5y is too high
11375,Inflation is too high
11375,Age is too high
11375,saf2 is too high
7687,mr5y is too high
7687,Inflation is too high
7687,pop1 is too high
7687,pop2 is too high
7687,walk_score_comm is too low
7687,pop3 is too high
14367,lab1 is too low
14367,walk_score_comm is too low
14367,own2 is too low
8755,saf4 is too high
8755,Age is too high
8755,saf2 is too high
8755,saf3 is too high
3877,own3 is too high
4340,saf5 is too high
4340,mr5y is too high
4340,Inflation is too high
4340,pop1 is too high
4340,inc3 is too low
4340,inc1 is too low
4340,inc2 is too low
2864,saf4 is too high
2864,own3 is too high
2864,saf2 is too high
7329,own3 is too high
4421,pop1 is too high
4421,pop2 is too high
4421,saf3 is too high
4421,pop3 is too high
4421,pop4 is too high
4421,inc2 is too low
2615,vacancy_rate is too low
11172,lab1 is too low
11172,walk_score_comm is too low
11172,saf3 is too high
11172,own2 is too low
11172,vacancy_rate is too low
14724,pop1 is too high
14724,inc3 is too low
14724,walk_score_comm is too low
14724,inc1 is too low
14724,inc2 is too low
11842,saf4 is too high
11842,own3 is too high
11842,Age is too high
11842,saf2 is too high
9376,lab1 is too low
9376,saf3 is too high
9376,pop4 is too high
9376,own2 is too low
13128,mr5y is too high
13128,Inflation is too high
13128,lab1 is too low
13128,saf2 is too high
13128,saf3 is too high
13128,pop4 is too high
13128,own2 is too low
7369,vacancy_rate is too low
7494,lab1 is too low
7494,own2 is too low
6652,own3 is too high
6652,saf2 is too high
6552,pop1 is too high
6552,pop2 is too high
6552,pop3 is too high
9620,mr5y is too high
9620,Inflation is too high
9620,inc3 is too low
9620,own3 is too high
9620,saf2 is too high
9620,inc1 is too low
9620,lab2 is too high
4980,saf4 is too high
4980,saf5 is too high
4980,pop2 is too high
4980,inc3 is too low
4980,saf2 is too high
4980,saf3 is too high
4980,pop3 is too high
4980,inc1 is too low
4980,inc2 is too low
4980,lab2 is too high
12906,pop1 is too high
12906,pop2 is too high
12906,saf3 is too high
12906,pop3 is too high
12906,pop4 is too high
12906,inc2 is too low
12906,vacancy_rate is too low
6924,mr5y is too high
6924,Inflation is too high
6924,walk_score_comm is too low
1275,pop1 is too high
1275,inc3 is too low
1275,inc1 is too low
1275,inc2 is too low
11051,saf4 is too high
11051,saf5 is too high
11051,pop2 is too high
11051,inc3 is too low
11051,saf2 is too high
11051,saf3 is too high
11051,pop3 is too high
11051,inc1 is too low
11051,inc2 is too low
11051,lab2 is too high
1307,pop1 is too high
1307,pop2 is too high
1307,pop3 is too high
1307,vacancy_rate is too low
13595,pop1 is too high
13595,pop2 is too high
13595,walk_score_comm is too low
13595,saf2 is too high
13595,pop3 is too high
14860,pop1 is too high
14860,pop2 is too high
14860,walk_score_comm is too low
14860,pop3 is too high
14860,vacancy_rate is too low
1130,walk_score_comm is too low
15404,pop1 is too high
15404,pop2 is too high
15404,pop3 is too high
3263,mr5y is too high
3263,Inflation is too high
3263,lab1 is too low
3263,saf2 is too high
3263,saf3 is too high
3263,pop4 is too high
3263,own2 is too low
6267,saf4 is too high
6267,saf5 is too high
6267,own3 is too high
6267,Age is too high
6267,saf2 is too high
6267,saf3 is too high
14572,own3 is too high
14572,saf2 is too high
14572,own2 is too low
6490,saf4 is too high
6490,saf5 is too high
6490,own3 is too high
6490,Age is too high
6490,saf2 is too high
6490,saf3 is too high
5823,saf4 is too high
5823,saf5 is too high
5823,Age is too high
5823,saf2 is too high
5823,saf3 is too high
13440,lab1 is too low
13440,Age is too high
13440,pop4 is too high
13440,own2 is too low
14836,own3 is too high
14836,pop4 is too high
14836,own2 is too low
14836,vacancy_rate is too low
10180,mr5y is too high
10180,Inflation is too high
10180,vacancy_rate is too low
6820,saf4 is too high
6820,saf5 is too high
6820,saf2 is too high
6820,saf3 is too high
5183,saf4 is too high
5183,saf5 is too high
5183,pop2 is too high
5183,inc3 is too low
5183,Age is too high
5183,saf2 is too high
5183,saf3 is too high
5183,pop3 is too high
5183,inc1 is too low
5183,inc2 is too low
5183,lab2 is too high
3528,pop1 is too high
3528,pop2 is too high
3528,walk_score_comm is too low
3528,pop3 is too high
6249,saf4 is too high
6249,saf5 is too high
6249,pop2 is too high
6249,inc3 is too low
6249,Age is too high
6249,saf3 is too high
6249,pop3 is too high
6249,inc1 is too low
6249,inc2 is too low
6249,lab2 is too high
11587,vacancy_rate is too low
11276,mr5y is too high
11276,Inflation is too high
11276,lab1 is too low
11276,saf3 is too high
11276,own2 is too low
572,saf5 is too high
572,own3 is too high
572,Age is too high
572,saf2 is too high
4148,saf5 is too high
4148,own3 is too high
4148,Age is too high
4148,pop4 is too high
4148,own2 is too low
14744,saf5 is too high
14744,Age is too high
14744,saf2 is too high
10920,pop1 is too high
10920,inc3 is too low
10920,inc1 is too low
10920,inc2 is too low
10380,saf4 is too high
10380,saf5 is too high
10380,mr5y is too high
10380,Inflation is too high
10380,pop2 is too high
10380,inc3 is too low
10380,pop3 is too high
10380,inc1 is too low
10380,inc2 is too low
10380,lab2 is too high
14244,saf4 is too high
14244,saf5 is too high
14244,mr5y is too high
14244,Inflation is too high
14244,pop2 is too high
14244,inc3 is too low
14244,pop3 is too high
14244,inc1 is too low
14244,inc2 is too low
14244,lab2 is too high
1184,saf4 is too high
1184,saf5 is too high
1184,inc3 is too low
1184,own3 is too high
1184,Age is too high
1184,saf2 is too high
1184,inc1 is too low
1184,lab2 is too high
7483,own3 is too high
7483,Age is too high
8491,saf5 is too high
8491,mr5y is too high
8491,Inflation is too high
8491,pop1 is too high
8491,inc3 is too low
8491,inc1 is too low
8491,inc2 is too low
13822,saf4 is too high
13822,saf5 is too high
13822,pop2 is too high
13822,inc3 is too low
13822,walk_score_comm is too low
13822,saf2 is too high
13822,saf3 is too high
13822,pop3 is too high
13822,inc1 is too low
13822,inc2 is too low
13822,lab2 is too high
7955,walk_score_comm is too low
7955,pop4 is too high
7955,inc2 is too low
7955,own2 is too low
7955,vacancy_rate is too low
12612,saf5 is too high
12612,Age is too high
12612,saf2 is too high
12612,vacancy_rate is too low
11156,walk_score_comm is too low
11156,saf3 is too high
11156,pop4 is too high
11156,inc2 is too low
11156,own2 is too low
11156,vacancy_rate is too low
10291,pop1 is too high
10291,pop2 is too high
10291,pop3 is too high
15172,saf5 is too high
15172,mr5y is too high
15172,Inflation is too high
15172,Age is too high
15172,saf2 is too high
15172,vacancy_rate is too low
8183,mr5y is too high
8183,Inflation is too high
8183,lab1 is too low
8183,pop4 is too high
8183,own2 is too low
7559,saf4 is too high
7559,saf5 is too high
7559,mr5y is too high
7559,Inflation is too high
7559,pop2 is too high
7559,inc3 is too low
7559,pop3 is too high
7559,inc1 is too low
7559,inc2 is too low
7559,lab2 is too high
9702,pop1 is too high
9702,pop2 is too high
9702,walk_score_comm is too low
9702,pop3 is too high
10271,mr5y is too high
10271,Inflation is too high
10271,lab2 is too high
13456,mr5y is too high
13456,Inflation is too high
13456,lab1 is too low
13456,Age is too high
13456,pop4 is too high
13456,own2 is too low
8187,own3 is too high
8187,Age is too high
12888,inc3 is too low
12888,lab1 is too low
12888,Age is too high
12888,inc1 is too low
12888,own2 is too low
5433,saf5 is too high
5433,lab1 is too low
5433,walk_score_comm is too low
5433,pop4 is too high
5433,own2 is too low
4971,mr5y is too high
4971,Inflation is too high
4971,lab1 is too low
4971,walk_score_comm is too low
4971,saf3 is too high
4971,own2 is too low
12388,inc3 is too low
12388,own3 is too high
12388,lab1 is too low
12388,pop4 is too high
12388,inc1 is too low
12388,inc2 is too low
12388,lab2 is too high
12388,vacancy_rate is too low
14502,walk_score_comm is too low
8878,pop1 is too high
8878,pop2 is too high
8878,pop3 is too high
6816,saf4 is too high
6816,saf5 is too high
6816,inc3 is too low
6816,Age is too high
6816,inc1 is too low
5420,pop1 is too high
5420,pop2 is too high
5420,saf2 is too high
5420,pop3 is too high
7324,walk_score_comm is too low
7324,lab2 is too high
12192,walk_score_comm is too low
12192,pop4 is too high
12192,inc2 is too low
12192,own2 is too low
12192,vacancy_rate is too low
13088,saf4 is too high
13088,mr5y is too high
13088,Inflation is too high
13088,inc3 is too low
13088,own3 is too high
13088,Age is too high
13088,saf2 is too high
13088,saf3 is too high
13088,inc1 is too low
13088,lab2 is too high
10152,saf4 is too high
10152,saf2 is too high
10152,own2 is too low
10152,vacancy_rate is too low
13862,pop1 is too high
13862,inc3 is too low
13862,inc1 is too low
13862,inc2 is too low
10402,lab1 is too low
10402,own2 is too low
10376,inc3 is too low
10376,own3 is too high
10376,lab1 is too low
10376,pop4 is too high
10376,inc1 is too low
10376,inc2 is too low
10376,lab2 is too high
667,walk_score_comm is too low
667,lab2 is too high
12084,walk_score_comm is too low
12084,lab2 is too high
7112,lab1 is too low
7112,walk_score_comm is too low
7112,pop4 is too high
7112,own2 is too low
384,saf5 is too high
384,lab1 is too low
384,pop4 is too high
384,own2 is too low
14914,pop1 is too high
14914,pop2 is too high
14914,pop3 is too high
8756,lab2 is too high
9684,lab1 is too low
9684,walk_score_comm is too low
9684,saf3 is too high
9684,own2 is too low
6624,saf4 is too high
6624,Age is too high
6624,saf2 is too high
6624,own2 is too low
6624,vacancy_rate is too low
14579,saf4 is too high
14579,saf5 is too high
14579,own3 is too high
14579,Age is too high
14579,saf2 is too high
14579,saf3 is too high
14579,vacancy_rate is too low
11907,Age is too high
11907,vacancy_rate is too low
11199,saf4 is too high
11199,saf2 is too high
6982,lab1 is too low
6982,walk_score_comm is too low
6982,pop4 is too high
6982,own2 is too low
4652,saf4 is too high
4652,mr5y is too high
4652,Inflation is too high
4652,Age is too high
4652,saf2 is too high
4652,saf3 is too high
4652,vacancy_rate is too low
5428,pop1 is too high
5428,pop2 is too high
5428,saf3 is too high
5428,pop3 is too high
5428,pop4 is too high
5428,inc2 is too low
5428,vacancy_rate is too low
15640,saf4 is too high
15640,saf5 is too high
15640,pop2 is too high
15640,inc3 is too low
15640,saf2 is too high
15640,saf3 is too high
15640,pop3 is too high
15640,inc1 is too low
15640,inc2 is too low
15640,lab2 is too high
15640,vacancy_rate is too low
11154,pop1 is too high
11154,pop2 is too high
11154,walk_score_comm is too low
11154,pop3 is too high
11154,vacancy_rate is too low
11703,inc3 is too low
11703,own3 is too high
11703,Age is too high
11703,inc1 is too low
11703,lab2 is too high
4336,own3 is too high
9852,saf4 is too high
9852,saf5 is too high
9852,inc3 is too low
9852,inc1 is too low
9852,vacancy_rate is too low
15875,lab2 is too high
651,saf4 is too high
651,saf5 is too high
651,inc3 is too low
651,own3 is too high
651,saf2 is too high
651,inc1 is too low
651,lab2 is too high
6120,saf4 is too high
6120,saf5 is too high
6120,Age is too high
6120,saf2 is too high
6120,saf3 is too high
6120,own2 is too low
13047,lab1 is too low
13047,saf2 is too high
13047,saf3 is too high
13047,pop4 is too high
13047,own2 is too low
13047,vacancy_rate is too low
6908,pop1 is too high
6908,pop2 is too high
6908,pop3 is too high
6893,own3 is too high
12840,lab2 is too high
7104,lab2 is too high
7108,saf4 is too high
7108,saf5 is too high
7108,saf2 is too high
7108,saf3 is too high
7108,own2 is too low
7108,vacancy_rate is too low
4616,inc3 is too low
4616,inc1 is too low
4616,vacancy_rate is too low
12979,pop1 is too high
12979,inc3 is too low
12979,inc1 is too low
12979,inc2 is too low
12979,vacancy_rate is too low
14602,saf5 is too high
12743,saf4 is too high
12743,mr5y is too high
12743,Inflation is too high
12743,own3 is too high
11920,lab1 is too low
11920,Age is too high
11920,own2 is too low
11920,vacancy_rate is too low
12455,inc3 is too low
12455,inc1 is too low
7342,saf5 is too high
7342,Age is too high
7342,vacancy_rate is too low
12340,pop1 is too high
12340,pop2 is too high
12340,pop3 is too high
10544,pop1 is too high
10544,pop2 is too high
10544,walk_score_comm is too low
10544,saf2 is too high
10544,pop3 is too high
8782,saf5 is too high
8782,saf2 is too high
8782,vacancy_rate is too low
10931,mr5y is too high
10931,Inflation is too high
10931,lab1 is too low
10931,walk_score_comm is too low
10931,pop4 is too high
10931,own2 is too low
6127,mr5y is too high
6127,Inflation is too high
6127,lab1 is too low
6127,walk_score_comm is too low
6127,saf3 is too high
6127,own2 is too low
15687,pop1 is too high
15687,inc3 is too low
15687,inc1 is too low
15687,inc2 is too low
15687,vacancy_rate is too low
5939,saf4 is too high
5939,own3 is too high
5939,Age is too high
5939,saf2 is too high
4396,saf4 is too high
4396,saf2 is too high
4396,saf3 is too high
4396,own2 is too low
4396,vacancy_rate is too low
13887,lab1 is too low
13887,own2 is too low
13887,vacancy_rate is too low
8543,own3 is too high
11491,pop1 is too high
11491,pop2 is too high
11491,saf3 is too high
11491,pop3 is too high
11491,pop4 is too high
11491,inc2 is too low
11491,vacancy_rate is too low
15440,pop1 is too high
15440,pop2 is too high
15440,pop3 is too high
