Observation,Reason
37,lab1 is too low
37,inc1 is too high
37,inc2 is too high
5050,pop1 is too high
5050,pop2 is too high
5050,inc3 is too low
5050,lab1 is too low
5050,pop3 is too high
5050,pop4 is too high
5050,inc1 is too low
5050,inc2 is too low
13321,own2 is too low
13321,vacancy_rate is too low
9878,lab1 is too high
9878,own2 is too low
9878,vacancy_rate is too low
1809,inc3 is too high
1809,lab1 is too high
1809,inc1 is too high
1809,inc2 is too high
15113,inc3 is too high
15113,lab1 is too high
15113,inc1 is too high
15113,inc2 is too high
1637,inc3 is too high
1637,lab1 is too high
1637,inc1 is too high
1637,inc2 is too high
6578,inc3 is too low
6578,lab1 is too low
6578,inc1 is too low
6578,inc2 is too high
5497,inc3 is too high
5497,inc1 is too high
5497,inc2 is too high
15466,pop4 is too high
15466,own2 is too low
15466,vacancy_rate is too low
11487,inc3 is too low
11487,lab1 is too low
11487,inc1 is too low
11487,inc2 is too low
348,inc3 is too high
348,inc1 is too high
8634,own2 is too low
8634,vacancy_rate is too low
188,inc3 is too high
188,inc1 is too high
188,inc2 is too high
9782,lab1 is too high
9782,walk_score_comm is too low
1625,inc3 is too high
1625,lab1 is too high
1625,inc1 is too high
1625,inc2 is too high
9778,lab1 is too high
9778,inc2 is too low
13377,walk_score_comm is too low
13377,own2 is too low
5206,inc3 is too high
5206,inc1 is too high
5206,inc2 is too high
13947,walk_score_comm is too low
13947,own2 is too low
7734,pop1 is too high
7734,pop2 is too high
7734,pop3 is too high
7734,pop4 is too high
7734,inc2 is too low
13173,pop4 is too high
13173,inc1 is too low
2466,own2 is too low
2466,vacancy_rate is too low
4152,pop1 is too high
4152,pop2 is too high
4152,pop3 is too high
4152,pop4 is too high
4152,own2 is too low
4152,vacancy_rate is too low
10607,lab1 is too low
10607,walk_score_comm is too low
10607,inc2 is too high
10607,vacancy_rate is too low
3123,inc3 is too high
3123,lab1 is too high
3123,inc1 is too high
3123,inc2 is too high
5537,inc3 is too high
5537,lab1 is too low
5537,walk_score_comm is too low
5537,inc1 is too high
5537,inc2 is too high
5537,vacancy_rate is too low
11122,lab1 is too high
7938,pop1 is too high
7938,pop2 is too high
7938,pop3 is too high
7938,pop4 is too high
11322,inc3 is too low
11322,lab1 is too low
11322,walk_score_comm is too low
11322,inc1 is too low
11322,inc2 is too low
11322,vacancy_rate is too low
9658,inc3 is too low
9658,lab1 is too low
9658,inc1 is too low
9658,vacancy_rate is too low
7092,pop1 is too high
7092,pop2 is too high
7092,pop3 is too high
7092,pop4 is too high
7092,own2 is too low
7542,inc3 is too low
7542,lab1 is too high
7542,walk_score_comm is too low
7542,inc2 is too low
10382,walk_score_comm is too low
10382,vacancy_rate is too low
9614,inc3 is too low
9614,inc1 is too low
9230,lab1 is too high
10112,lab1 is too high
10112,own2 is too low
3648,walk_score_comm is too low
3648,pop4 is too high
3648,vacancy_rate is too low
12010,pop1 is too high
12010,pop2 is too high
12010,walk_score_comm is too low
12010,pop3 is too high
12010,pop4 is too high
6582,walk_score_comm is too low
6582,inc2 is too high
6582,vacancy_rate is too low
15626,pop2 is too high
15626,pop3 is too high
10046,lab1 is too high
13007,pop1 is too high
13007,pop2 is too high
13007,inc3 is too low
13007,lab1 is too low
13007,pop3 is too high
13007,inc1 is too low
13007,inc2 is too high
13007,own2 is too low
13007,vacancy_rate is too low
7768,pop1 is too high
7768,pop2 is too high
7768,pop3 is too high
7768,pop4 is too high
7768,own2 is too low
7768,vacancy_rate is too low
10862,own2 is too low
10862,vacancy_rate is too low
9666,inc3 is too low
9666,inc1 is too low
12769,pop4 is too high
12362,lab1 is too high
12362,walk_score_comm is too low
12362,own2 is too low
3760,walk_score_comm is too low
3760,pop4 is too high
3760,own2 is too low
3760,vacancy_rate is too low
11906,pop1 is too high
11906,pop2 is too high
11906,inc3 is too low
11906,lab1 is too low
11906,pop3 is too high
11906,pop4 is too high
11906,inc1 is too low
11906,inc2 is too low
5455,inc3 is too high
5455,lab1 is too low
5455,inc1 is too high
5455,inc2 is too high
10812,inc3 is too low
10812,lab1 is too low
10812,inc1 is too low
10812,inc2 is too low
4234,pop1 is too high
4234,pop2 is too high
4234,pop3 is too high
4234,pop4 is too high
9814,lab1 is too high
9814,walk_score_comm is too low
9814,vacancy_rate is too low
13870,inc3 is too low
13870,lab1 is too high
13870,inc2 is too low
4329,pop1 is too high
4329,pop2 is too high
4329,pop3 is too high
4329,pop4 is too high
4329,inc2 is too low
14380,inc3 is too low
14380,lab1 is too high
14380,inc2 is too low
8938,lab1 is too low
8938,pop4 is too high
8938,inc2 is too low
8938,vacancy_rate is too low
7625,lab1 is too high
7625,walk_score_comm is too low
7625,vacancy_rate is too low
7185,pop1 is too high
7185,pop2 is too high
7185,inc3 is too high
7185,pop3 is too high
7185,inc1 is too high
3099,inc3 is too high
3099,lab1 is too high
3099,inc1 is too high
3099,inc2 is too high
10570,lab1 is too low
10570,walk_score_comm is too low
10570,inc2 is too low
10570,vacancy_rate is too low
8922,lab1 is too high
8922,walk_score_comm is too low
8922,own2 is too low
8922,vacancy_rate is too low
1066,lab1 is too high
11010,walk_score_comm is too low
11010,own2 is too low
11010,vacancy_rate is too low
15526,pop2 is too high
15526,pop3 is too high
15526,inc2 is too low
12047,pop1 is too high
12047,pop2 is too high
12047,pop3 is too high
12047,inc2 is too high
8490,inc3 is too low
8490,lab1 is too low
8490,walk_score_comm is too low
8490,inc1 is too low
8490,own2 is too low
8490,vacancy_rate is too low
10482,vacancy_rate is too low
1805,inc3 is too high
1805,lab1 is too high
1805,walk_score_comm is too low
1805,inc1 is too high
1805,inc2 is too high
1805,own2 is too low
1805,vacancy_rate is too low
4430,inc2 is too high
4430,own2 is too low
4430,vacancy_rate is too low
10966,walk_score_comm is too low
10966,own2 is too low
10966,vacancy_rate is too low
7565,lab1 is too high
7565,own2 is too low
5585,inc3 is too high
5585,inc1 is too high
5585,inc2 is too high
5585,own2 is too low
5585,vacancy_rate is too low
14582,vacancy_rate is too low
5574,inc3 is too high
5574,inc1 is too high
5574,inc2 is too high
5574,own2 is too low
5574,vacancy_rate is too low
6634,inc2 is too high
6634,own2 is too low
6634,vacancy_rate is too low
11714,inc3 is too low
11714,inc1 is too low
8218,lab1 is too high
8218,inc2 is too low
4165,pop1 is too high
4165,pop2 is too high
4165,inc3 is too low
4165,pop3 is too high
4165,pop4 is too high
4165,inc1 is too low
1801,inc3 is too high
1801,lab1 is too high
1801,inc1 is too high
1801,inc2 is too high
14567,lab1 is too low
14567,inc2 is too low
7301,lab1 is too high
7301,inc1 is too low
5066,pop1 is too high
5066,pop2 is too high
5066,pop3 is too high
5066,pop4 is too high
5066,own2 is too low
15225,inc3 is too high
15225,lab1 is too low
15225,inc1 is too high
15225,inc2 is too high
5668,pop1 is too high
5668,pop2 is too high
5668,inc3 is too high
5668,pop3 is too high
5668,inc1 is too high
5769,pop1 is too high
5769,pop2 is too high
5769,inc3 is too high
5769,walk_score_comm is too low
5769,pop3 is too high
5769,inc1 is too high
5620,pop1 is too high
5620,pop2 is too high
5620,inc3 is too high
5620,pop3 is too high
5620,inc1 is too high
350,inc3 is too high
350,inc1 is too high
9846,lab1 is too high
8482,walk_score_comm is too low
8482,own2 is too low
7094,pop1 is too high
7094,pop2 is too high
7094,pop3 is too high
7094,pop4 is too high
3898,pop4 is too high
12326,inc3 is too low
12326,lab1 is too low
12326,inc1 is too low
12326,inc2 is too high
6212,pop1 is too high
6212,pop3 is too high
6212,pop4 is too high
14892,pop1 is too high
14892,pop2 is too high
14892,inc3 is too low
14892,pop3 is too high
14892,inc1 is too low
14892,inc2 is too high
